Provider,Model,Metric,Score column,N_total,N_eval,Error count,Nonempty pred,Task success rate,AUROC,Average Precision,Spearman,Note,File
claude,claude-opus-4-5-20251101,SSIM,ssim,300,300,0,300,0.55,0.5053423120089787,0.5614060255932039,0.0092438647603936,,results_api_vlm/all_strict300/claude_strongest_claude-opus-4-5-20251101_visdrone300.csv
claude,claude-opus-4-5-20251101,Sharpness,sharpness,300,300,0,300,0.55,0.5046464646464646,0.5608740188974478,0.0080076166608449,,results_api_vlm/all_strict300/claude_strongest_claude-opus-4-5-20251101_visdrone300.csv
claude,claude-opus-4-5-20251101,Brightness-quality,brightness_quality,300,300,0,300,0.55,0.5099438832772165,0.5692565854552193,0.0171370733369772,,results_api_vlm/all_strict300/claude_strongest_claude-opus-4-5-20251101_visdrone300.csv
claude,claude-opus-4-5-20251101,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.55,0.6420650953984288,0.6319125424927331,0.3697254809203774,,results_api_vlm/all_strict300/claude_strongest_claude-opus-4-5-20251101_visdrone300.csv
claude,claude-opus-4-5-20251101,TCUS-proxy,tcus_proxy,300,300,0,300,0.55,0.6378002244668911,0.6283132748890579,0.2374819259948157,,results_api_vlm/all_strict300/claude_strongest_claude-opus-4-5-20251101_visdrone300.csv
claude,claude-haiku-4-5-20251001-thinking,PSNR,psnr,300,300,0,300,0.5766666666666667,0.5144053525101271,0.5972934370211909,0.0247550769304418,,results_api_vlm/all_strict300/claude_thinking_claude-haiku-4-5-20251001-thinking_visdrone300.csv
claude,claude-haiku-4-5-20251001-thinking,SSIM,ssim,300,300,0,300,0.5766666666666667,0.5176823995266489,0.5999119144287315,0.0303865636255186,,results_api_vlm/all_strict300/claude_thinking_claude-haiku-4-5-20251001-thinking_visdrone300.csv
claude,claude-haiku-4-5-20251001-thinking,Sharpness,sharpness,300,300,0,300,0.5766666666666667,0.505074871421419,0.5825538424879122,0.0086860382281752,,results_api_vlm/all_strict300/claude_thinking_claude-haiku-4-5-20251001-thinking_visdrone300.csv
claude,claude-haiku-4-5-20251001-thinking,Brightness-quality,brightness_quality,300,300,0,300,0.5766666666666667,0.5292886077101633,0.6027768466484382,0.050129736321352,,results_api_vlm/all_strict300/claude_thinking_claude-haiku-4-5-20251001-thinking_visdrone300.csv
claude,claude-haiku-4-5-20251001-thinking,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.5766666666666667,0.6666059806108051,0.6726643420467577,0.4306244038424304,,results_api_vlm/all_strict300/claude_thinking_claude-haiku-4-5-20251001-thinking_visdrone300.csv
claude,claude-haiku-4-5-20251001-thinking,TCUS-proxy,tcus_proxy,300,300,0,300,0.5766666666666667,0.6681989895771698,0.6674512004180884,0.2878856885401032,,results_api_vlm/all_strict300/claude_thinking_claude-haiku-4-5-20251001-thinking_visdrone300.csv
claude,claude-opus-4-5-20251101-thinking,PSNR,psnr,300,300,1,299,0.5333333333333333,0.5187946428571429,0.5518530711778129,0.0326117094719284,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-5-20251101-thinking_visdrone300.csv
claude,claude-opus-4-5-20251101-thinking,SSIM,ssim,300,300,1,299,0.5333333333333333,0.5111607142857142,0.5486212667921715,0.0193656232018577,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-5-20251101-thinking_visdrone300.csv
claude,claude-opus-4-5-20251101-thinking,Sharpness,sharpness,300,300,1,299,0.5333333333333333,0.504732142857143,0.5453264635921858,0.0081781229821336,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-5-20251101-thinking_visdrone300.csv
claude,claude-opus-4-5-20251101-thinking,Brightness-quality,brightness_quality,300,300,1,299,0.5333333333333333,0.5144642857142857,0.5554754090872966,0.0249972815680311,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-5-20251101-thinking_visdrone300.csv
claude,claude-opus-4-5-20251101-thinking,Cognition-Consistency,cognition_consistency_proxy,300,300,1,299,0.5333333333333333,0.6480357142857143,0.6201012145748989,0.3863435370798868,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-5-20251101-thinking_visdrone300.csv
claude,claude-opus-4-5-20251101-thinking,TCUS-proxy,tcus_proxy,300,300,1,299,0.5333333333333333,0.6441517857142857,0.6157278375010081,0.249124142540656,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-5-20251101-thinking_visdrone300.csv
claude,claude-opus-4-6-thinking,PSNR,psnr,300,300,0,300,0.2733333333333333,0.5204743790557171,0.2718473673873927,0.0317366725100408,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-6-thinking_visdrone300.csv
claude,claude-opus-4-6-thinking,SSIM,ssim,300,300,0,300,0.2733333333333333,0.4700716043857686,0.257833589577532,-0.0463910376854421,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-6-thinking_visdrone300.csv
claude,claude-opus-4-6-thinking,Sharpness,sharpness,300,300,0,300,0.2733333333333333,0.5410606399641978,0.3325627889318737,0.0633917393249019,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-6-thinking_visdrone300.csv
claude,claude-opus-4-6-thinking,Brightness-quality,brightness_quality,300,300,0,300,0.2733333333333333,0.5180689192213024,0.3104760252860129,0.0278958198936557,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-6-thinking_visdrone300.csv
claude,claude-opus-4-6-thinking,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.2733333333333333,0.5712127992839562,0.3055418494826983,0.1660261012245107,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-6-thinking_visdrone300.csv
claude,claude-opus-4-6-thinking,TCUS-proxy,tcus_proxy,300,300,0,300,0.2733333333333333,0.576415305437458,0.3296216087225845,0.1179742723675968,,results_api_vlm/all_strict300/claude_thinking_claude-opus-4-6-thinking_visdrone300.csv
claude,claude-sonnet-4-5-20250929-thinking,PSNR,psnr,300,300,0,300,0.5466666666666666,0.5131814921090387,0.5580856492851363,0.0228229316797301,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-5-20250929-thinking_visdrone300.csv
claude,claude-sonnet-4-5-20250929-thinking,SSIM,ssim,300,300,0,300,0.5466666666666666,0.5047076757532282,0.5552110857441462,0.008151047028475,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-5-20250929-thinking_visdrone300.csv
claude,claude-sonnet-4-5-20250929-thinking,Sharpness,sharpness,300,300,0,300,0.5466666666666666,0.5145713773314204,0.5716144889964572,0.0251283379266221,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-5-20250929-thinking_visdrone300.csv
claude,claude-sonnet-4-5-20250929-thinking,Brightness-quality,brightness_quality,300,300,0,300,0.5466666666666666,0.560482424677188,0.6093890201168215,0.1043019318861945,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-5-20250929-thinking_visdrone300.csv
claude,claude-sonnet-4-5-20250929-thinking,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.5466666666666666,0.6603299856527977,0.6407656100852507,0.417531524101766,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-5-20250929-thinking_visdrone300.csv
claude,claude-sonnet-4-5-20250929-thinking,TCUS-proxy,tcus_proxy,300,300,0,300,0.5466666666666666,0.6939562410329986,0.6807185716556713,0.3344775072940532,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-5-20250929-thinking_visdrone300.csv
claude,claude-sonnet-4-6-thinking,PSNR,psnr,300,300,0,300,0.29,0.4603906966704441,0.2613044179272384,-0.0625118151832436,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-6-thinking_visdrone300.csv
claude,claude-sonnet-4-6-thinking,SSIM,ssim,300,300,0,300,0.29,0.4659489504074253,0.2633140337640614,-0.0537397212270119,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-6-thinking_visdrone300.csv
claude,claude-sonnet-4-6-thinking,Sharpness,sharpness,300,300,0,300,0.29,0.4157897577033079,0.2650342559537007,-0.1323689506554796,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-6-thinking_visdrone300.csv
claude,claude-sonnet-4-6-thinking,Brightness-quality,brightness_quality,300,300,0,300,0.29,0.5137877070854244,0.3270885143701034,0.0216727118823934,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-6-thinking_visdrone300.csv
claude,claude-sonnet-4-6-thinking,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.29,0.566240354001403,0.3211601284378054,0.1572371674555224,,results_api_vlm/all_strict300/claude_thinking_claude-sonnet-4-6-thinking_visdrone300.csv
