Provider,Model,Metric,Score column,N_total,N_eval,Error count,Nonempty pred,Task success rate,AUROC,Average Precision,Spearman,Note,File
gemini,gemini-2.5-flash-thinking,Sharpness,sharpness,300,300,0,291,0.5733333333333334,0.5106286337209301,0.5969265212387109,0.0182103557550913,,results_api_vlm/all_strict300/gemini_strong_gemini-2.5-flash-thinking_visdrone300.csv
gemini,gemini-2.5-flash-thinking,Brightness-quality,brightness_quality,300,300,0,291,0.5733333333333334,0.5143531976744187,0.6032133671964244,0.024591762472687396,,results_api_vlm/all_strict300/gemini_strong_gemini-2.5-flash-thinking_visdrone300.csv
gemini,gemini-2.5-flash-thinking,Cognition-Consistency,cognition_consistency_proxy,300,300,0,291,0.5733333333333334,0.6510719476744186,0.6597520635219534,0.3908734530628881,,results_api_vlm/all_strict300/gemini_strong_gemini-2.5-flash-thinking_visdrone300.csv
gemini,gemini-2.5-flash-thinking,TCUS-proxy,tcus_proxy,300,300,0,291,0.5733333333333334,0.6530704941860466,0.6714903242020802,0.26226025168657124,,results_api_vlm/all_strict300/gemini_strong_gemini-2.5-flash-thinking_visdrone300.csv
gpt,gpt-5,PSNR,psnr,300,300,0,300,0.5033333333333333,0.5060447130983599,0.5095664983379009,0.01051169566086585,,results_api_vlm/all_strict300/gpt_base_gpt-5_visdrone300.csv
gpt,gpt-5,SSIM,ssim,300,300,0,300,0.5033333333333333,0.5023556602515667,0.5084922147522187,0.004096469632543309,,results_api_vlm/all_strict300/gpt_base_gpt-5_visdrone300.csv
gpt,gpt-5,Sharpness,sharpness,300,300,0,300,0.5033333333333333,0.49588870616471836,0.520494949613162,-0.007120851122414486,,results_api_vlm/all_strict300/gpt_base_gpt-5_visdrone300.csv
gpt,gpt-5,Brightness-quality,brightness_quality,300,300,0,300,0.5033333333333333,0.5424241077381218,0.5384692080362675,0.07347948536588786,,results_api_vlm/all_strict300/gpt_base_gpt-5_visdrone300.csv
gpt,gpt-5,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.5033333333333333,0.6367838570603137,0.5837182615223745,0.35776643433906435,,results_api_vlm/all_strict300/gpt_base_gpt-5_visdrone300.csv
gpt,gpt-5,TCUS-proxy,tcus_proxy,300,300,0,300,0.5033333333333333,0.6546957642561892,0.5981634664211828,0.26793645763852564,,results_api_vlm/all_strict300/gpt_base_gpt-5_visdrone300.csv
gpt,gpt-5.5,PSNR,psnr,300,300,0,300,0.51,0.48621670890578456,0.49247544198436505,-0.023964743723432172,,results_api_vlm/all_strict300/gpt_latest_gpt-5.5_visdrone300.csv
gpt,gpt-5.5,SSIM,ssim,300,300,0,300,0.51,0.4708327775554666,0.48633229902296415,-0.05071248994377905,,results_api_vlm/all_strict300/gpt_latest_gpt-5.5_visdrone300.csv
gpt,gpt-5.5,Sharpness,sharpness,300,300,0,300,0.51,0.49268596327419856,0.5264310773554417,-0.012665819673313256,,results_api_vlm/all_strict300/gpt_latest_gpt-5.5_visdrone300.csv
gpt,gpt-5.5,Brightness-quality,brightness_quality,300,300,0,300,0.51,0.5179849717664844,0.532698108641013,0.031144827099423778,,results_api_vlm/all_strict300/gpt_latest_gpt-5.5_visdrone300.csv
gpt,gpt-5.5,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.51,0.6062647281134677,0.5706531027393424,0.2778923919939423,,results_api_vlm/all_strict300/gpt_latest_gpt-5.5_visdrone300.csv
gpt,gpt-5.5,TCUS-proxy,tcus_proxy,300,300,0,300,0.51,0.6103774843270642,0.5800336731936726,0.19114223306383077,,results_api_vlm/all_strict300/gpt_latest_gpt-5.5_visdrone300.csv
gpt,gpt-5.4-mini,PSNR,psnr,300,300,0,300,0.56,0.5218253968253969,0.5734735169620117,0.037680723515285036,,results_api_vlm/all_strict300/gpt_light_gpt-5.4-mini_visdrone300.csv
